PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
2,4/4/2025,3:03:11 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,0,0,Rise Ball,,Foul,,,,,,,61.86988867,2.813993951,0.71732885,1585.15567,136.1253524,10:30,1.807283044,0.459207202,6,-24.03771844,7.472892906,-5.571147913,1.960016776,0.206958615,57.22711244,-3.321499179,-1.55781423,0.411774318,,,,,,,,,,,,7.032697037,7.457208255,-0.239927215,50,0.920180628,-1.971344881,-93.51412239,8.110586386,5.925564208,20.45461744,-25.89080347,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,de220115-2e1e-48e8-9b87-9a85d82b9afd,62.00811495,1.804751919,0.459109202,2.857353179,0.718907146,57.34048057,1.962416483,0.207210106,-3.268646638,-1.552268204,0.411621518,-5.587909765,6.170963911,-53.47796531,,943.3766766,-1273.875561,59.51318816,-0.429005494,-0.80362805,0.412475748,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
3,4/4/2025,3:03:32 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,52.333813,4.013737053,1.953230934,853.8144316,43.51370591,7:30,1.796385699,0.47018806,7.917881524,-39.87406085,0.380337431,-1.476536116,1.005957014,1.351849715,48.41424857,-7.899806573,1.251531315,0.460322739,,,,,,,,,,,,2.705795182,-1.330487704,0.059431762,50,0.163725539,-2.923875464,-79.34213062,11.68582731,1.64117734,14.72474618,-32.98104573,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,f462680f-0c35-4282-b22f-1d54f7cd2f58,52.4196659,1.790859862,0.472828056,4.120963621,1.90100659,48.46626914,1.011111005,1.349776528,-7.783430083,1.204430867,0.460205565,-1.144847143,-1.522120958,-80.63732946,,138.9012142,-842.4402272,16.26831417,0.11797939,-0.986678365,0.11201191,,,,,,,,,,,,,,,,,1,1,,,high,high,,,35.08211985,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
4,4/4/2025,3:03:51 PM,1,3,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,1,1,Rise Ball,,StrikeSwinging,,,,,,,62.64428879,4.487014433,1.516621809,1572.646109,140.2921689,10:45,1.764095769,0.383541119,6,-23.05018962,8.026167376,-5.265467187,3.038460884,0.849624614,57.52128337,-1.339207348,0.56593547,0.407685256,,,,,,,,,,,,6.992455516,7.635177448,0.013901508,50,0.509645347,-3.264201992,-94.50080938,10.76667678,6.010745975,21.01244468,-25.61081697,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,3e313abb-a4de-46ba-95c9-5654f5099962,62.79084597,1.762126342,0.383312344,4.520498212,1.520572335,57.64248379,3.040526796,0.849925555,-1.293047534,0.572593652,0.407526724,-5.290790202,6.780870099,-49.31265549,,1025.256633,-1192.50351,65.19309254,-0.501538442,-0.758278358,0.416501047,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
5,4/4/2025,3:04:11 PM,1,4,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,1,2,Rise Ball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,63.51032866,5.417547639,0.84623843,1739.707095,132.183728,10:30,1.782324198,0.326482368,6,-22.8866217,7.45010232,-6.387766083,3.42175285,0.649074964,58.20580213,-1.096960124,-0.016777194,0.402764658,,,,,,,,,,,,7.868127267,6.640144112,-0.071552839,50,0.318346935,-2.325761488,-95.71947192,12.42666602,6.930209962,21.72280405,-26.32544148,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,1844e7ef-a7b9-42f0-ad31-025b680a7651,63.65821437,1.780227864,0.325825898,5.45334045,0.857843001,58.32569969,3.423980564,0.649752097,-1.047618429,-0.002005598,0.402610554,-6.465946158,6.20476538,-48.85978556,,1144.56023,-1310.176574,65.7903985,-0.441789219,-0.753101817,0.487503784,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
6,4/4/2025,3:04:41 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,0,0,Rise Ball,,BallCalled,,,,,,,63.32052547,4.727650051,2.275768418,1552.10958,125.0679866,10:15,1.773774878,0.404743981,6,-24.13807174,5.621664727,-6.217983508,3.017635716,1.372644059,58.83065397,-1.84473714,1.060084211,0.403526075,,,,,,,,,,,,8.38586296,4.785810976,0.174203455,50,0.44691781,-4.693265467,-95.43006481,11.5250295,7.357544514,21.31285265,-27.97509982,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,bda69274-fe8a-4c95-969b-0dfceff1d16a,63.46059487,1.770866604,0.404401782,4.77843424,2.281771102,58.9445032,3.020395669,1.373110205,-1.783980973,1.070311611,0.403380552,-6.265453642,4.347133419,-53.31740277,,927.2016808,-1244.725348,59.73815849,-0.343224413,-0.801957132,0.488939424,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
7,4/4/2025,3:05:02 PM,2,2,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,1,0,Rise Ball,,BallCalled,,,,,,,63.73905431,4.403257358,2.081305346,1683.380274,137.5785482,10:30,1.469568635,0.365527628,1.95544066,-28.12445895,9.802248023,-7.24178248,2.447557249,1.477112221,57.71441197,-2.3984517,0.968227024,0.448507747,,,,,,,,,,,,7.892216456,7.664104119,-0.012473035,50,0.671665743,-4.039338544,-95.17864595,9.601914186,6.879078694,21.36668278,-25.49380005,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,98d256e7-6647-4e8a-8954-584fabcd6ca8,63.93247613,1.466254,0.364782704,4.447218239,2.091510387,57.86005379,2.45049213,1.477773267,-2.338591545,0.981523277,0.448281131,-7.310324581,8.130526956,-49.03446244,,1103.632457,-1271.127275,65.56049595,-0.483969434,-0.755104057,0.442257221,,,,,,,,,,,,,,,,,1,1,,,high,high,,,41.04456072,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
8,4/4/2025,3:05:22 PM,2,3,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,0,Rise Ball,,StrikeCalled,,,,,,,63.17639915,5.050357124,1.616298812,1615.731586,137.8223903,10:30,1.599141477,0.262728187,4.088980052,-26.2057441,8.037630529,-5.620140162,3.112172264,0.815630062,57.59763794,-1.552540701,0.956867407,0.42737803,,,,,,,,,,,,6.771769867,6.594222623,0.087103906,50,0.445827931,-3.297266158,-94.77658194,11.29618471,5.851877727,21.20445947,-26.47560069,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,0b420b76-429d-4dce-b0a6-d0b005bc8eff,63.34731201,1.596196576,0.262765641,5.093958516,1.615532034,57.73081976,3.114917478,0.815756987,-1.494447354,0.959637235,0.427187357,-5.614224708,6.562524031,-53.27502753,,966.1663501,-1295.033259,59.79745388,-0.44313922,-0.801515097,0.401498668,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.91102132,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
9,4/4/2025,3:06:06 PM,2,4,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,1,Rise Ball,,StrikeCalled,,,StrikeoutLooking,1,0,,49.74137659,7.684386141,2.126557083,968.6857997,15.82534112,6:30,1.609101589,0.216672846,5.80046709,-55.92679541,-5.584723547,-2.334344551,1.925774369,0.316937964,45.91176998,-8.349832733,-0.181894806,0.51957148,,,,,,,,,,,,3.562049376,-10.12157009,0.280278655,50,-0.664348561,-3.015139684,-74.51799289,16.31170585,1.90533561,13.00736119,-37.58806435,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,d7e624c3-38a8-4fe3-9b5b-34c97a526550,49.80599501,1.597901917,0.21988484,7.876479321,2.07007261,45.92377576,1.934192463,0.314658235,-8.169487044,-0.23153176,0.51950052,-1.965520057,-8.369359664,-47.78372728,,650.8899741,-717.4220656,67.19309545,0.646463074,-0.740613794,0.183239466,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.19953429,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
10,4/4/2025,3:06:35 PM,2,5,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,61.20160072,3.376911719,5.172640849,1616.204766,136.4460476,10:30,1.588443287,0.105497615,1.204764218,-30.70177064,10.80461871,-8.145402789,1.963324677,0.893872306,56.17648304,-3.195031198,-0.293982286,0.476854391,,,,,,,,,,,,10.08675163,7.967734841,0.663470349,50,1.000059717,-8.812539236,-90.98471397,7.637095688,8.060261153,19.1448236,-25.80708171,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,a8a07e80-1f59-4254-8d51-3568455dbf83,61.39115558,1.583845188,0.104647317,3.437025911,5.183980592,56.32306386,1.966594712,0.894799526,-3.12929524,-0.27564177,0.476609626,-8.250427832,8.93073401,-46.57636162,,1110.958482,-1173.835209,68.73872082,-0.498167288,-0.726291144,0.473635437,,,,,,,,,,,,,,,,,1,1,,,high,high,,,41.79523716,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
11,4/4/2025,3:06:56 PM,2,6,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,2,0,1,Fast Ball,,Foul,,,,,,,66.0694993,4.693032292,1.818588784,1287.546418,79.32919892,8:45,1.63361501,0.23567481,4.225924917,-29.60060424,0.71045019,-4.247319118,2.398986222,0.246526012,61.11477902,-3.60139922,-0.65517131,0.406745182,54.61439009,31.79221599,39.78973497,2687.214011,79.21271312,76.32395479,26.44492188,152.616684,,48.29029345,2.931304454,5.317580966,-1.503764072,0.1491025,50,0.502918665,-3.642859885,-99.17057659,11.78291873,5.037927566,23.03001798,-33.59873019,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,0a1f1ba9-fe18-4e2d-a834-590b7fab52fa,66.21856743,1.627481427,0.237124791,4.786237101,1.795835516,61.22342364,2.403493885,0.245806184,-3.506913037,-0.669929592,0.406598445,-4.116683251,-0.88629529,-70.66587496,,426.2762924,-1214.933867,33.10764462,0.061304047,-0.943603935,0.325351236,29.70768183,35.66925963,28.77306314,-0.133521291,0.432289957,2.425165621,113.9322424,101.5445537,25.87379643,-4.597117754,0.410026479,0.606792521,-0.32085712,-0.727223175,,,1,1,1,25.02230919,high,high,,,38.77407646,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
